Country,Year,Unemployment.x,GDP,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Density,Urbanization,Population,log_GDP,Unemployment,Unemployment_lag
"Congo, Dem. Rep.",2000,2.961,19088046306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.672328128221075,2.961,2.961
"Congo, Rep.",2000,19.981,3227927697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.895106188404373,19.981,19.981
Colombia,2000,20.52,99875074935,1682.427,1792.984,1878.86,1827.905,1767.893,1623.658,1592.848,1624.054,1714.91,1694.091,1691.106,1712.347,1986.543,2209.203,2726.817,3035.313,3137.068,3399.33,3090.903,2673.665,2535.477,2461.328,2424.349,2313.535,2827.173,3493.976,3836.672,4834.416,5622.109,5330.795,6498.597,7518.304,8237.306,8409.688,8312.056,6337.038,6037.126,6577.287,6923.64,6540.141,5363.067,6239.269,6658.119,6975.868,7087.114,7333.592,7642.291,7976.578,8325.489,46,40827302,50339443,25.327185991320427,20.52,20.52
Comoros,2000,4.658,351136579.8,684.569,584.519,541.617,513.524,490.137,482.697,629.744,741.276,772.133,731.08,868.945,895.707,955.474,916.695,660.355,806.805,789.145,714.272,701.452,703.067,628.071,675.05,757.399,949.68,1055.357,1085.659,1110.984,1251.857,1403.796,1351.145,1322.638,1450.159,1403.417,1500.731,1505.178,1231.135,1256.035,1300.566,1386.014,1359.75,1357.291,1395.028,1294.354,1377.022,1406.205,1440.587,1480.295,1512.776,1542.586,467,248152,850886,19.676685821983366,4.658,4.658
Cabo Verde,2000,11.11,539227277.6,541.435,522.81,517.666,499.536,466.312,476.329,645.817,783.24,861.862,853.014,957.369,974.873,1062.47,1046.265,1180.486,1378.161,1385.771,1322.336,1376.757,1541.831,1399.088,1387.33,1501.545,2051.814,2295.724,2359.62,2623.337,3391.227,3985.213,3727.309,3632.185,4028.638,3722.1,3900.957,3878.774,3283.571,3438.763,3596.388,3811.549,4053.646,3359.53,3665.199,4048.436,4502.784,4790.431,5062.449,5349.525,5627.079,5917.426,NA,NA,NA,20.10564770530356,11.11,11.11
Costa Rica,2000,5.08,15013629659,2108.75,1111.35,1071.935,1257.355,1421.164,1478.366,1611.323,1612.564,1598.038,1763.481,1880.75,2305.412,2684.089,2926.911,3110.155,3336.709,3277.614,3450.907,3653.154,3715.408,3941.14,4041.944,4122.829,4227.819,4483.59,4756.337,5309.271,6194.045,6993.896,6879.266,8268.859,9270.571,10107.452,10764.529,10853.638,11635.197,11986.918,12185.259,12428.924,12691.126,12163.927,12472.833,13074.905,16213.262,17249.418,18074.587,18894.921,19745.08,20586.996,100,4041885,5047561,23.432224269414956,5.08,5.08
Caribbean small states,2000,9.696037072,34533836400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.265205445565147,9.696037072,9.696037072
Cuba,2000,5.45,30565400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,8739135,11333483,24.14313448720553,5.45,5.45
Cyprus,2000,4.97,9985844486,4549.59,4352.502,4452.666,4399.223,4575.652,4824.674,6057.903,7188.216,8204.3,8635.765,10359.998,10413.726,12158.597,11342.407,12525.318,15396.919,15260.553,14323.919,15181.803,15379.994,14464.816,14905.024,16188.394,20389.178,23969.818,25527.252,27448.569,31774.426,36009.56,32650.09,31521.893,32910.616,29075.269,27671.331,27076.806,23507.588,24802.599,26834.665,29630.487,29624.708,28141.95,31726.322,31459.344,34790.581,36975.731,38870.112,40759.645,42489.557,44213.156,131,800708,1198575,23.02443437570108,4.97,4.97
Czechia,2000,8.76,61823494487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.847549298856425,8.76,8.76
